,venue
3144,IEEE Transactions on Image Processing
3145,web information systems engineering
3146,ACM Transactions on The Web
3147,"simulation, modeling, and programming for autonomous robots"
3148,"international colloquium on automata, languages and programming"
3149,Software - Practice and Experience
3150,International Journal of Virtual Reality
3151,Journal of Hydraulic Research
3152,international conference on robotics and automation
3153,Journal of High Energy Physics
3154,Software - Concepts and Tools \/ Structured Programming
3155,conference on scientific computing
3156,Energy Conversion and Management
3157,International Journal of Bioinformatics Research and Applications
3158,Journal of Biomedical Materials Research Part A
3159,quantitative evaluation of systems
3160,Journal of the Korean Physical Society
3161,Journal of Emerging Technologies in Web Intelligence
3162,International Journal of High Speed Computing
3163,Magnetic Resonance Materials in Physics Biology and Medicine
3164,IEEE\/ACM Transactions on Networking
3165,arXiv: Chemical Physics
3166,ifip international conference on theoretical computer science
3167,Journal of Algebra and Its Applications
3168,Foundations and Trends in Networking
3169,arXiv: Multimedia
3170,ACM Sigada Ada Letters
3171,international conference on smart grids and green it systems
3172,BMC Medical Informatics and Decision Making
3173,international conference on e-business and telecommunication networks
3174,Computational Intelligence and Neuroscience
3175,Journal of Scientific Research
3176,International Journal of Experimental Design and Process Optimisation
3177,computer games
3178,European Physical Journal-special Topics
3179,discourse anaphora and anaphor resolution colloquium
3180,Acta Mathematicae Applicatae Sinica
3181,digital information and communication technology and its applications
3182,Annals of Allergy Asthma & Immunology
3183,Fuel Cells Bulletin
3184,Annual Review of Condensed Matter Physics
3185,joint conference on knowledge-based software engineering
3186,Physics of Particles and Nuclei Letters
3187,conference on computational complexity
3188,Extremes
3189,Frontiers of Computer Science in China
3190,Inflammatory Bowel Diseases
3191,cyber-enabled distributed computing and knowledge discovery
3192,Compel-the International Journal for Computation and Mathematics in Electrical and Electronic Engineering
3193,Journal of The Royal Statistical Society Series C-applied Statistics
3194,Network Science
3195,international acm sigir conference on research and development in information retrieval
3196,International Journal of Applied Cryptography
3197,international symposium on environmental software systems
3198,IEEE Network
3199,mathematical foundations of computer science
3200,Electronic Proceedings in Theoretical Computer Science
3201,Composites Part B-engineering
3202,Nonlinear Dynamics
3203,inductive logic programming
3204,workshops on enabling technologies infrastracture for collaborative enterprises
3205,IEEE/CAA Journal of Automatica Sinica
3206,Safety Science
3207,personal indoor and mobile radio communications
3208,"world of wireless, mobile and multimedia networks"
3209,international workshop on self-organizing systems
3210,American Journal of Roentgenology
3211,Scandinavian Journal of Information Systems
3212,Computers & Chemical Engineering
3213,brazilian symposium on geoinformatics
3214,BMC Medical Imaging
3215,International Journal of Information and Coding Theory
3216,International Journal of Industrial Ergonomics
3217,symposium on the theory of computing
3218,Geo-spatial Information Science
3219,Journal of Medical Systems
3220,Integral Equations and Operator Theory
3221,Knowledge Acquisition
3222,"international workshop on xquery implementation, experience and perspectives"
3223,Mathematical and Computer Modelling
3224,automation of software test
3225,International Journal of Automation and Computing
3226,Astrophysical Journal Supplement Series
3227,ACM Transactions on Internet Technology
3228,Siam Journal on Applied Mathematics
3229,parallel and distributed processing techniques and applications
3230,Notre Dame Journal of Formal Logic
3231,symposium on web systems evolution
3232,secure web services
3233,Journal of Physical Chemistry B
3234,Combinatorial Chemistry & High Throughput Screening
3235,Spring
3236,Synthesis Lectures on Quantum Computing
3237,Journal of Social Structure
3238,Datenschutz Und Datensicherheit
3239,international symposium on functional and logic programming
3240,terminology and knowledge engineering
3241,ACM Transactions on Modeling and Performance Evaluation of Computing 
3242,Siam Journal on Optimization
3243,Tijdschrift Voor Communicatiewetenschappen
3244,Technology Analysis & Strategic Management
3245,international conference on supporting group work
3246,asia pacific computer and human interaction
3247,Journal of Algebra
3248,Methods in Ecology and Evolution
3249,IEEE Journal of Oceanic Engineering
3250,International Journal of Emerging Technologies in Learning (ijet)
3251,computer security foundations workshop
3252,user interface software and technology
3253,International Journal of Shape Modeling
3254,asia and south pacific design automation conference
3255,Journal of Tribology-transactions of The Asme
3256,International Journal of Information Acquisition
3257,Peer-to-peer Networking and Applications
3258,Chaos
3259,Annali Dell'universita' Di Ferrara
3260,Proteins
3261,recent advances in intrusion detection
3262,European Transactions on Telecommunications
3263,Journal of Systems and Information Technology
3264,International Journal of Autonomic Computing
3265,acm special interest group on data communication
3266,dependable systems and networks
3267,Connection Science
3268,International Journal of Managing Information Technology
3269,Ergodic Theory and Dynamical Systems
3270,Materials Science and Engineering
3271,Proceedings of The Steklov Institute of Mathematics
3272,Journal of Immunological Methods
